Concept ID,Concept,Classification,Coverage Status,Total Questions,Foundational,Intermediate,Advanced,Challenge,Mastery,Repair,Bridge,Status Note
long-run-phillips-curve,Long-Run Phillips Curve,Core supporting concept,Insufficient depth — expansion underway,15,4,3,4,1,0,"{'directSkillMatches': 2, 'mainWithUsableSkill': 12}","{'directSkillMatches': 1, 'mainWithUsableSkill': 12}","Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
disinflation-and-policy,Disinflation and Policy,Core supporting concept,Insufficient depth — expansion underway,16,1,4,3,2,2,"{'directSkillMatches': 2, 'mainWithUsableSkill': 12}","{'directSkillMatches': 2, 'mainWithUsableSkill': 12}","Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
natural-rate-of-unemployment,Natural Rate of Unemployment,Core supporting concept,Insufficient depth — expansion underway,16,1,1,6,1,5,"{'directSkillMatches': 1, 'mainWithUsableSkill': 14}","{'directSkillMatches': 1, 'mainWithUsableSkill': 14}","Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
indexing-and-real-values,Indexing and Real Values,Core supporting concept,Insufficient depth — expansion underway,23,6,3,3,3,5,"{'directSkillMatches': 2, 'mainWithUsableSkill': 13}","{'directSkillMatches': 1, 'mainWithUsableSkill': 13}","Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
central-bank-and-federal-reserve,Central Banking and the Federal Reserve,Core supporting concept,Insufficient depth — expansion underway,26,10,3,0,0,2,"{'directSkillMatches': 8, 'mainWithUsableSkill': 15}","{'directSkillMatches': 3, 'mainWithUsableSkill': 15}","Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
real-versus-nominal-interest-rates,Real versus Nominal Interest Rates,Core supporting concept,Insufficient depth — expansion underway,27,7,3,4,4,6,"{'directSkillMatches': 2, 'mainWithUsableSkill': 21}","{'directSkillMatches': 1, 'mainWithUsableSkill': 21}","Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
long-run-macroeconomic-adjustment,Long-Run Macroeconomic Adjustment,Core supporting concept,Insufficient depth — expansion underway,30,5,5,5,6,2,"{'directSkillMatches': 5, 'mainWithUsableSkill': 23}","{'directSkillMatches': 2, 'mainWithUsableSkill': 23}","Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
supply,Supply,Standalone-ready,Insufficient depth — expansion underway,30,5,8,5,1,3,"{'directSkillMatches': 4, 'mainWithUsableSkill': 22}","{'directSkillMatches': 4, 'mainWithUsableSkill': 22}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
real-versus-nominal-gdp,Real versus Nominal GDP,Core supporting concept,Insufficient depth — expansion underway,31,6,3,4,4,8,"{'directSkillMatches': 4, 'mainWithUsableSkill': 22}","{'directSkillMatches': 2, 'mainWithUsableSkill': 22}","Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
short-run-phillips-curve,Short-Run Phillips Curve,Core supporting concept,Insufficient depth — expansion underway,33,8,6,5,3,2,"{'directSkillMatches': 5, 'mainWithUsableSkill': 24}","{'directSkillMatches': 4, 'mainWithUsableSkill': 24}","Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
economic-growth-policy,Economic Growth Policy,Core supporting concept,Insufficient depth — expansion underway,34,3,13,4,4,7,"{'directSkillMatches': 2, 'mainWithUsableSkill': 31}","{'directSkillMatches': 1, 'mainWithUsableSkill': 31}","Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
phillips-curve-expectations,Phillips-Curve Expectations,Core supporting concept,Insufficient depth — expansion underway,37,5,8,11,4,3,"{'directSkillMatches': 3, 'mainWithUsableSkill': 31}","{'directSkillMatches': 3, 'mainWithUsableSkill': 31}","Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
living-standards-and-growth,Living Standards and Growth,Standalone-ready,Insufficient depth — expansion underway,39,5,11,5,5,7,"{'directSkillMatches': 4, 'mainWithUsableSkill': 27}","{'directSkillMatches': 2, 'mainWithUsableSkill': 27}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
labor-market-institutions,Labor-Market Institutions,Core supporting concept,Insufficient depth — expansion underway,42,3,4,18,4,9,"{'directSkillMatches': 2, 'mainWithUsableSkill': 38}","{'directSkillMatches': 2, 'mainWithUsableSkill': 38}","Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
demand,Demand,Standalone-ready,Insufficient depth — expansion underway,44,8,9,7,2,8,"{'directSkillMatches': 4, 'mainWithUsableSkill': 34}","{'directSkillMatches': 6, 'mainWithUsableSkill': 34}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
macroeconomic-equilibrium-and-shocks,Macroeconomic Equilibrium and Shocks,Standalone-ready,Insufficient depth — expansion underway,44,7,8,7,7,3,"{'directSkillMatches': 9, 'mainWithUsableSkill': 32}","{'directSkillMatches': 3, 'mainWithUsableSkill': 32}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
money-functions-and-measures,Money Functions and Measures,Standalone-ready,Insufficient depth — expansion underway,50,15,10,5,1,4,"{'directSkillMatches': 11, 'mainWithUsableSkill': 32}","{'directSkillMatches': 4, 'mainWithUsableSkill': 32}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
monetary-policy-tools,Monetary-Policy Tools,Standalone-ready,Insufficient depth — expansion underway,53,10,8,7,8,10,"{'directSkillMatches': 7, 'mainWithUsableSkill': 41}","{'directSkillMatches': 3, 'mainWithUsableSkill': 41}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
liquidity-preference-and-money-market,Liquidity Preference and the Money Market,Standalone-ready,Insufficient depth — expansion underway,56,7,10,10,11,7,"{'directSkillMatches': 7, 'mainWithUsableSkill': 45}","{'directSkillMatches': 4, 'mainWithUsableSkill': 45}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
gdp-measurement,GDP Measurement,Standalone-ready,Insufficient depth — expansion underway,67,22,9,8,8,11,"{'directSkillMatches': 6, 'mainWithUsableSkill': 52}","{'directSkillMatches': 3, 'mainWithUsableSkill': 52}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
market-equilibrium,Market Equilibrium,Standalone-ready,Insufficient depth — expansion underway,67,5,20,15,3,18,"{'directSkillMatches': 2, 'mainWithUsableSkill': 57}","{'directSkillMatches': 4, 'mainWithUsableSkill': 57}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
monetary-policy-transmission,Monetary-Policy Transmission,Standalone-ready,Insufficient depth — expansion underway,67,11,10,13,6,17,"{'directSkillMatches': 7, 'mainWithUsableSkill': 57}","{'directSkillMatches': 3, 'mainWithUsableSkill': 57}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
fiscal-multipliers-and-crowding-out,Fiscal Multipliers and Crowding Out,Standalone-ready,Insufficient depth — expansion underway,68,9,11,14,11,9,"{'directSkillMatches': 9, 'mainWithUsableSkill': 42}","{'directSkillMatches': 5, 'mainWithUsableSkill': 42}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
production-possibilities-frontier,Production Possibilities Frontier,Standalone-ready,Insufficient depth — expansion underway,72,12,13,15,5,17,"{'directSkillMatches': 2, 'mainWithUsableSkill': 51}","{'directSkillMatches': 8, 'mainWithUsableSkill': 51}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
stabilization-policy,Stabilization Policy,Standalone-ready,Insufficient depth — expansion underway,72,9,9,15,12,14,"{'directSkillMatches': 8, 'mainWithUsableSkill': 59}","{'directSkillMatches': 5, 'mainWithUsableSkill': 59}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
quantity-theory-of-money,Quantity Theory of Money,Standalone-ready,Insufficient depth — expansion underway,73,10,15,10,12,13,"{'directSkillMatches': 8, 'mainWithUsableSkill': 48}","{'directSkillMatches': 5, 'mainWithUsableSkill': 48}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
unemployment-measurement,Unemployment Measurement,Standalone-ready,Insufficient depth — expansion underway,73,10,10,21,10,12,"{'directSkillMatches': 5, 'mainWithUsableSkill': 55}","{'directSkillMatches': 5, 'mainWithUsableSkill': 55}","Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
integrated-economic-analysis,Integrated Economic Analysis,Supplemental concept,Insufficient depth — expansion underway,88,8,24,24,3,29,"{'directSkillMatches': 0, 'mainWithUsableSkill': 88}","{'directSkillMatches': 0, 'mainWithUsableSkill': 88}","Targeted enrichment only: add discriminating application, challenge/mastery, or integration items where useful; do not force every difficulty or checkpoint pool."
