Concept ID,Concept,Classification,Coverage Status,Total Questions,Foundational,Intermediate,Advanced,Challenge,Mastery,Repair,Bridge,Status Note
supply,Supply,Standalone-ready,Insufficient depth — expansion underway,30,5,8,5,1,0,4,4,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
real-versus-nominal-gdp,Real versus Nominal GDP,Core supporting concept,Insufficient depth — expansion underway,31,6,3,4,4,6,4,2,"Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
short-run-phillips-curve,Short-Run Phillips Curve,Core supporting concept,Insufficient depth — expansion underway,33,8,6,5,3,2,5,4,"Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
economic-growth-policy,Economic Growth Policy,Core supporting concept,Insufficient depth — expansion underway,34,3,13,4,4,5,2,1,"Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
phillips-curve-expectations,Phillips-Curve Expectations,Core supporting concept,Insufficient depth — expansion underway,37,5,8,11,4,3,3,3,"Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
living-standards-and-growth,Living Standards and Growth,Standalone-ready,Insufficient depth — expansion underway,39,5,11,5,5,5,4,2,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
labor-market-institutions,Labor-Market Institutions,Core supporting concept,Insufficient depth — expansion underway,42,3,4,18,4,7,2,2,"Balanced supporting target: strong ordinary/mastery coverage, at least one appropriate checkpoint tier, direct repair, and bridge coverage; combine with adjacent concepts."
demand,Demand,Standalone-ready,Insufficient depth — expansion underway,44,8,9,7,2,5,4,6,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
macroeconomic-equilibrium-and-shocks,Macroeconomic Equilibrium and Shocks,Standalone-ready,Insufficient depth — expansion underway,44,7,8,7,7,3,9,3,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
money-functions-and-measures,Money Functions and Measures,Standalone-ready,Insufficient depth — expansion underway,50,15,10,5,1,3,11,4,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
monetary-policy-tools,Monetary-Policy Tools,Standalone-ready,Insufficient depth — expansion underway,53,10,8,7,8,6,7,3,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
liquidity-preference-and-money-market,Liquidity Preference and the Money Market,Standalone-ready,Insufficient depth — expansion underway,56,7,10,10,11,5,7,4,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
gdp-measurement,GDP Measurement,Standalone-ready,Insufficient depth — expansion underway,67,22,9,8,8,8,6,3,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
market-equilibrium,Market Equilibrium,Standalone-ready,Insufficient depth — expansion underway,67,5,20,15,3,15,2,4,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
monetary-policy-transmission,Monetary-Policy Transmission,Standalone-ready,Insufficient depth — expansion underway,67,11,10,13,6,14,7,3,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
fiscal-multipliers-and-crowding-out,Fiscal Multipliers and Crowding Out,Standalone-ready,Insufficient depth — expansion underway,68,9,11,14,11,6,9,5,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
production-possibilities-frontier,Production Possibilities Frontier,Standalone-ready,Insufficient depth — expansion underway,72,12,13,15,5,14,2,8,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
stabilization-policy,Stabilization Policy,Standalone-ready,Insufficient depth — expansion underway,72,9,9,15,12,8,8,5,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
quantity-theory-of-money,Quantity Theory of Money,Standalone-ready,Insufficient depth — expansion underway,73,10,15,10,12,9,8,5,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
unemployment-measurement,Unemployment Measurement,Standalone-ready,Insufficient depth — expansion underway,73,10,10,21,10,9,5,5,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
integrated-economic-analysis,Integrated Economic Analysis,Supplemental concept,Insufficient depth — expansion underway,88,8,24,24,3,5,0,0,"Targeted enrichment only: add discriminating application, challenge/mastery, or integration items where useful; do not force every difficulty or checkpoint pool."
