Concept ID,Concept,Classification,Coverage Status,Unique Questions,Foundational,Intermediate,Advanced,Challenge,Mastery,Repair,Bridge,Status Note
demand,Demand,Standalone-ready,Insufficient depth — expansion underway,44,8,6,7,2,5,4,6,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
macroeconomic-equilibrium-and-shocks,Macroeconomic Equilibrium and Shocks,Standalone-ready,Insufficient depth — expansion underway,44,7,8,7,7,3,9,3,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
money-functions-and-measures,Money Functions and Measures,Standalone-ready,Insufficient depth — expansion underway,50,12,8,4,1,3,11,4,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
monetary-policy-tools,Monetary-Policy Tools,Standalone-ready,Insufficient depth — expansion underway,53,7,8,5,8,6,7,3,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
liquidity-preference-and-money-market,Liquidity Preference and the Money Market,Standalone-ready,Insufficient depth — expansion underway,56,7,10,7,11,5,7,4,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
gdp-measurement,GDP Measurement,Standalone-ready,Insufficient depth — expansion underway,67,7,6,7,8,8,6,3,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
market-equilibrium,Market Equilibrium,Standalone-ready,Insufficient depth — expansion underway,67,5,14,11,3,15,2,4,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
monetary-policy-transmission,Monetary-Policy Transmission,Standalone-ready,Insufficient depth — expansion underway,67,11,10,10,6,14,7,3,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
fiscal-multipliers-and-crowding-out,Fiscal Multipliers and Crowding Out,Standalone-ready,Insufficient depth — expansion underway,68,6,7,6,11,6,9,5,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
production-possibilities-frontier,Production Possibilities Frontier,Standalone-ready,Insufficient depth — expansion underway,72,8,9,9,5,14,2,8,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
stabilization-policy,Stabilization Policy,Standalone-ready,Insufficient depth — expansion underway,72,9,9,12,12,8,8,5,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
quantity-theory-of-money,Quantity Theory of Money,Standalone-ready,Insufficient depth — expansion underway,73,9,7,4,12,9,8,5,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
unemployment-measurement,Unemployment Measurement,Standalone-ready,Insufficient depth — expansion underway,73,7,6,9,10,9,5,5,"Full expansion target: balanced foundational, intermediate, advanced, challenge, mastery, all checkpoint tiers, direct repair, and bridge coverage."
integrated-economic-analysis,Integrated Economic Analysis,Supplemental concept,Insufficient depth — expansion underway,88,0,0,0,3,5,0,0,"Targeted enrichment only: add discriminating application, challenge/mastery, or integration items where useful; do not force every difficulty or checkpoint pool."
