Canonical ID,Concept ID,Pool,Question,Correct Answer,Correct Index,Primary Skill,Common Error,Feedback,Hash Verified
P52B-S3-DEM-EL-001,demand,elite,Income rises for a normal good while the price of a close substitute falls. What can be concluded about demand for the normal good?,The net shift is uncertain because the two effects oppose each other.,0,multiple_demand_shifters,Assuming one of two opposing demand shifters must dominate.,"Higher income raises demand for a normal good, while a cheaper substitute lowers it. The net shift depends on the relative size of the effects.",True
P52B-S3-DEM-EL-002,demand,elite,A survey shows buyers want more electric scooters at every listed price than they did last month. Which statement is most precise?,"Demand increased, so the entire demand schedule shifted right.",1,demand_schedule_interpretation,Calling an across-the-board schedule change a movement along demand.,"Wanting more at every price is a rightward shift of demand, not a change in quantity demanded caused by the good’s own price.",True
P52B-S3-DEM-L-001,demand,legendary,"Coffee is a normal good. Consumer income rises, buyers expect coffee prices to fall next month, and the current price of tea, a substitute, rises. What can be concluded about current coffee demand?",The direction is ambiguous because two forces raise current demand while one lowers it.,2,multiple_demand_shifters,Adding demand shifters mechanically without recognizing opposing effects.,"Higher income and a higher substitute price raise current coffee demand, while expecting a lower future coffee price reduces current demand. Magnitudes determine the net shift.",True
P52B-S3-DEM-B1-001,demand,boss_easy,The good’s own price declines while every non-price determinant stays fixed. Which demand-side change occurs?,Quantity demanded increases through a movement along the existing curve.,3,movement_vs_demand_shift,Using demand and quantity demanded as interchangeable terms.,A change in the good’s own price causes movement along the demand curve and changes quantity demanded.,True
P52B-S3-DEM-B1-002,demand,boss_easy,Which event shifts demand for bus rides to the right?,"The price of subway rides, a substitute, increases.",0,demand_shifters_related_goods,Selecting an own-price movement or a supply shifter as a demand shifter.,A higher price for a substitute makes bus rides more attractive at every bus fare and shifts demand right.,True
P52B-S3-DEM-B1-003,demand,boss_easy,Income falls and purchases of instant noodles rise. What does this evidence suggest?,Instant noodles are an inferior good for these consumers.,1,normal_inferior_good_analysis,Treating all goods as normal or confusing demand evidence with supply.,"Demand for an inferior good rises when income falls, holding other determinants constant.",True
P52B-S3-DEM-B3-001,demand,boss_hard,"A product’s price is unchanged, yet buyers plan to purchase less at every possible price. Which explanation is consistent with the evidence?",A non-price determinant reduced demand and shifted the curve left.,2,demand_schedule_interpretation,Explaining a full demand-schedule change as movement along one curve.,Less desired at every price means demand shifted left because a non-price determinant changed.,True
P52B-S3-DEM-B3-002,demand,boss_hard,"Movie tickets are a normal good. Income rises, but the price of streaming subscriptions, a substitute, falls. What is the strongest conclusion about movie-ticket demand?",The net shift is uncertain because the two effects oppose each other.,3,multiple_demand_shifters,Claiming certainty when opposing demand shifters act simultaneously.,"Higher income raises demand for a normal good, while a cheaper substitute lowers it. Effect sizes are required.",True
P52B-S3-DEM-B3-003,demand,boss_hard,"The current price of concert tickets rises, attendance falls, and no other determinant changes. Which statement avoids the common terminology error?",Quantity demanded fell; demand itself did not shift.,0,movement_vs_demand_shift,Calling an own-price movement a change in demand.,An own-price change moves buyers along the existing demand curve and changes quantity demanded.,True
P52B-S3-MEQS-L-001,macroeconomic-equilibrium-and-shocks,legendary,"Consumer confidence falls while a major productivity improvement lowers firms’ production costs. Without knowing the size of either shock, what is certain in the short run?","The price level falls, while the change in real output remains uncertain.",1,trace_combined_shocks,Treating a negative demand shock and positive supply shock as if they move both outcomes in the same direction.,"Lower aggregate demand and higher short-run aggregate supply both reduce the price level, but they push output in opposite directions.",True
