canonicalConceptId,display name,profile,before total,after total,E,M,H,Elite,Legendary,EB,MB,FB,LB,Repair,Repair Seed,Bridge,Graph,Calculation,Integration,Solo support,Controlled reuse,Final verdict
"scarcity-and-tradeoffs","Scarcity and Tradeoffs","Full Standalone","96","96","10","10","10","4","27","4","4","4","9","7","3","4","0","0","0","Yes","No","PASS"
"opportunity-cost","Opportunity Cost","Full Standalone","108","108","10","12","12","6","27","5","5","5","9","8","1","6","0","2","0","Yes","No","PASS"
"marginal-analysis","Marginal Analysis","Full Standalone","108","108","10","12","12","6","27","5","5","5","9","8","1","6","0","2","0","Yes","No","PASS"
"incentives","Incentives","Full Standalone","95","95","10","10","10","4","27","4","4","4","9","7","1","5","0","0","0","Yes","No","PASS"
"gains-from-trade","Comparative Advantage and Gains from Trade","Full Standalone","106","106","10","12","12","6","27","5","5","5","9","8","1","6","0","0","0","Yes","No","PASS"
"models-and-assumptions","Models and Assumptions","Supporting / Light-Touch","66","66","8","8","8","4","12","3","3","3","6","6","1","4","0","0","0","Yes","No","PASS"
"micro-versus-macro","Microeconomics versus Macroeconomics","Supporting / Light-Touch","21","61","8","8","8","3","10","3","3","3","4","6","1","4","0","0","0","Yes","Yes","PASS"
"positive-versus-normative-analysis","Positive versus Normative Analysis","Supporting / Light-Touch","24","60","8","8","8","3","10","3","3","3","4","6","0","4","0","0","0","Yes","Yes","PASS"
"economist-policy-role","Economists and Policy","Supporting / Light-Touch","20","61","8","8","8","3","10","3","3","3","4","6","1","4","0","0","0","Yes","Yes","PASS"
"market-failures","Market Failures","Supporting / Light-Touch","29","67","8","8","8","4","12","3","3","3","5","7","2","4","0","0","0","Yes","Yes","PASS"
"production-possibilities-frontier","Production Possibilities Frontier","Targeted Mature Standalone","79","84","8","9","9","5","13","3","3","3","5","7","0","8","23","11","0","Yes","No","PASS"
"elasticity","Elasticity","Already Mature — Verified","418","418","39","39","39","38","97","20","20","20","36","20","0","20","48","30","0","Yes","No","PASS"
"integrated-economic-analysis","Integrated Economic Analysis","Integrated Special Case","94","104","0","0","0","5","7","8","24","24","24","6","0","6","0","0","0","Mixed only","No","PASS"
